Re,phi,dP_pipe,dP_ann,U_pipe,U_ann,Nu_par,eff_par,S_ht_par,S_ff_par,S_par,Be_par,Nu_ctr,eff_ctr,S_ht_ctr,S_ff_ctr,S_ctr,Be_ctr
10000,0.0,136.55976056494228,319.4956584227413,0.34368900580915435,0.44679570755190046,74.73465384639248,0.17671866720712354,40.961624327541344,0.0007883465765430705,40.962412674117886,0.9999807543910362,74.82371613925574,0.17792592436463617,41.17846699223997,0.0007886819601839144,41.17925567420015,0.9999808475906796
20000,0.0,459.3711789414507,1067.7446676704233,0.6873780116183087,0.8935914151038009,134.18848549099928,0.14932880930475764,68.12578415039735,0.005448987503093702,68.13123313790044,0.9999200221799588,134.32248144213347,0.15007892763899935,68.39822570952309,0.005450685957097939,68.40367639548019,0.9999203158917134
40000,0.0,1565.3971282309358,3619.4415959356566,1.3747560232366174,1.7871828302076018,242.3096317510754,0.12049583957042125,107.5949103839562,0.03875549401910974,107.63366587797532,0.9996399314870215,242.50680897012296,0.12090902790401446,107.8957835661502,0.03876356528884692,107.93454713143905,0.9996408604444169
60000,0.0,3223.718038095381,7433.842364835649,2.062134034854925,2.6807742453114027,343.22360813684855,0.10315319500213474,135.8310475031343,0.1232863965854693,135.95433389971976,0.9990931778851831,343.4650131174053,0.10342239074584629,136.12322974647645,0.12330545222162848,136.24653519869807,0.9990949828409083
80000,0.0,5393.519577224018,12415.579803207893,2.7495120464732348,3.5743656604152036,439.8574559402841,0.0908956164309442,157.46041652796737,0.28116328817696334,157.74157981614434,0.9982175702278075,440.13220732531397,0.09108593910876835,157.73349687872422,0.28119724422490316,158.01469412294912,0.9982204361069984
100000,0.0,8048.931967278089,18504.3211509948,3.4368900580915422,4.467957075519004,533.4882782525561,0.081568368718895,174.79981654099782,0.5338088687211537,175.333625409719,0.9969554677976129,533.7892881754377,0.08171005799456803,175.05168320262854,0.5338609066695447,175.58554410929807,0.9969595395260032
10000,0.025,146.22244141095578,319.4956584227413,0.3339367475427969,0.44679570755190046,74.72866557947744,0.17096434556569873,42.636246415040915,0.0007946349072549155,42.637041049948174,0.9999813628036165,74.82128472522665,0.17214638544667632,42.86278217023892,0.0007949683247943056,42.86357713856372,0.9999814535235305
20000,0.025,491.8753402346545,1067.7446676704233,0.6678734950855938,0.8935914151038009,134.17687161975704,0.14399730418601936,70.68956187235189,0.005494005172271759,70.69505587752415,0.9999222858642083,134.3157583754387,0.1447252832301895,70.97188893882905,0.005495684998947878,70.977384623828,0.9999225713228506
40000,0.025,1676.161375570114,3619.4415959356566,1.3357469901711876,1.7871828302076018,242.28708211797772,0.11564377818929625,111.05213171076424,0.03908660302149444,111.09121831378573,0.9996481575806372,242.49048625195994,0.11603975889072707,111.36001288243888,0.03909451938398102,111.39910740182286,0.9996490589530223
60000,0.025,3451.821518405551,7433.842364835649,2.0036204852567816,2.6807742453114027,343.1900580674604,0.09865493915713595,139.6537520822307,0.12435935539422265,139.77811143762494,0.999110308802178,343.4382375389558,0.09891063668038842,139.9500016604682,0.12437792388925673,140.07437958435744,0.9991120580061941
80000,0.025,5775.153499548249,12415.579803207893,2.671493980342375,3.5743656604152036,439.81270161951886,0.08669469655583796,161.4251590958382,0.28364085329150135,161.7087999491297,0.9982459776253318,440.0944217550004,0.08687426402226406,161.7001074785851,0.28367376421272356,161.98378124279782,0.9982487520538398
100000,0.025,8618.457078097761,18504.3211509948,3.339367475427969,4.467957075519004,533.4321094790869,0.0776259040015405,178.8058958594697,0.5385560882405807,179.34445194771027,0.9969970853160398,533.7401044679855,0.07775888370102323,179.05809209060394,0.5386062934861875,179.59669838409013,0.9970010234133908
10000,0.05,163.71021731947175,319.4956584227413,0.33412581163192423,0.44679570755190046,75.60267248462199,0.16135401658545928,44.97849874448646,0.0008151064324370634,44.97931385091889,0.9999818781932704,75.69538594107627,0.16244574723599062,45.21295813897305,0.0008154222912876173,45.21377356126434,0.9999819651794782
20000,0.05,550.7021909082773,1067.7446676704233,0.6682516232638485,0.8935914151038009,135.85193315899738,0.13555756469587812,74.32251371073366,0.005639223374697366,74.32815293410836,0.9999241307209705,135.9908700875904,0.13622608248948084,74.61273398139495,0.0056408089359790085,74.61837479033093,0.9999244045591742
40000,0.05,1876.6253689439895,3619.4415959356566,1.336503246527697,1.7871828302076018,245.50290313506142,0.10846848020212817,116.14661375951056,0.040144733616769006,116.18675849312733,0.9996544809913158,245.7060709511283,0.10882915537026397,116.45992685220841,0.04015215725547789,116.50007900946389,0.999655346523394
60000,0.05,3864.649266424824,7433.842364835649,2.0047548697915443,2.6807742453114027,347.9012875639084,0.09228676906166654,145.5133112704694,0.12776960292598588,145.64108087339537,0.9991227090450047,348.1488503081347,0.09251834196439247,145.8126433836516,0.12778692277382733,145.9404303064254,0.9991243898451888
80000,0.05,6465.844950705612,12415.579803207893,2.673006493055394,3.5743656604152036,445.99055168742603,0.08092937068319088,167.72821713134445,0.29148619733160464,168.01970332867606,0.9982651665753665,446.2712647962729,0.08109131201702248,168.00454699629228,0.29151675463266075,168.29606375092493,0.9982678337916204
100000,0.05,9649.199313169911,18504.3211509948,3.3412581163192403,4.467957075519004,541.0555621531558,0.07234100111672363,185.38740446144016,0.5535472458055355,185.9409517072457,0.997022994446769,541.3621790239906,0.07246054317692265,185.63981964015727,0.5535936707014395,186.19341331085872,0.9970267816629088
10000,0.075,191.54187978044376,319.4956584227413,0.34368753504452604,0.44679570755190046,76.93470463084941,0.1497918467222427,47.91774295103979,0.0008542343365794605,47.91859718537637,0.9999821732190265,77.02621832857261,0.15076874754169273,48.15996443768315,0.0008545217871562448,48.160818959470305,0.9999822569091303
20000,0.075,644.3246441513298,1067.7446676704233,0.6873750700890521,0.8935914151038009,138.3985745125969,0.12552234459489175,78.88064186320916,0.0059163724659126666,78.88655823567508,0.9999250015135881,138.53573080250192,0.1261174785401076,79.17843780592872,0.005917809529132575,79.18435561545786,0.9999252654203833
