Re,phi,dP_pipe,dP_ann,U_pipe,U_ann,Nu_par,eff_par,S_ht_par,S_ff_par,S_par,Be_par,Nu_ctr,eff_ctr,S_ht_ctr,S_ff_ctr,S_ctr,Be_ctr
10000,0.0,136.55976056494228,319.4956584227413,0.34368900580915435,0.44679570755190046,74.73465384639248,0.17671866720712354,40.961624327541344,0.0007883465765430705,40.962412674117886,0.9999807543910362,74.82371613925574,0.17792592436463617,41.17846699223997,0.0007886819601839144,41.17925567420015,0.9999808475906796
20000,0.0,459.3711789414507,1067.7446676704233,0.6873780116183087,0.8935914151038009,134.18848549099928,0.14932880930475764,68.12578415039735,0.005448987503093702,68.13123313790044,0.9999200221799588,134.32248144213347,0.15007892763899935,68.39822570952309,0.005450685957097939,68.40367639548019,0.9999203158917134
40000,0.0,1565.3971282309358,3619.4415959356566,1.3747560232366174,1.7871828302076018,242.3096317510754,0.12049583957042125,107.5949103839562,0.03875549401910974,107.63366587797532,0.9996399314870215,242.50680897012296,0.12090902790401446,107.8957835661502,0.03876356528884692,107.93454713143905,0.9996408604444169
60000,0.0,3223.718038095381,7433.842364835649,2.062134034854925,2.6807742453114027,343.22360813684855,0.10315319500213474,135.8310475031343,0.1232863965854693,135.95433389971976,0.9990931778851831,343.4650131174053,0.10342239074584629,136.12322974647645,0.12330545222162848,136.24653519869807,0.9990949828409083
80000,0.0,5393.519577224018,12415.579803207893,2.7495120464732348,3.5743656604152036,439.8574559402841,0.0908956164309442,157.46041652796737,0.28116328817696334,157.74157981614434,0.9982175702278075,440.13220732531397,0.09108593910876835,157.73349687872422,0.28119724422490316,158.01469412294912,0.9982204361069984
100000,0.0,8048.931967278089,18504.3211509948,3.4368900580915422,4.467957075519004,533.4882782525561,0.081568368718895,174.79981654099782,0.5338088687211537,175.333625409719,0.9969554677976129,533.7892881754377,0.08171005799456803,175.05168320262854,0.5338609066695447,175.58554410929807,0.9969595395260032
10000,0.025,136.64871708174306,319.4956584227413,0.32281965739241686,0.44679570755190046,74.2662831311545,0.1751584610454083,41.72319284411235,0.0007779248276527275,41.72397076894,0.9999813554459627,74.35951379040544,0.17638567492420826,41.94712885486203,0.0007782700380057131,41.947907124900034,0.9999814467492815
20000,0.025,459.67046545118063,1067.7446676704233,0.6456393147848337,0.8935914151038009,133.28926331162162,0.14763981860855369,69.25829133780425,0.005375792252946782,69.2636671300572,0.9999223865487391,133.4290243044299,0.1483966920157767,69.53798485926829,0.00537753424374884,69.54336239351204,0.9999226736519681
40000,0.025,1566.4170132564468,3619.4415959356566,1.2912786295696674,1.7871828302076018,240.58094494265075,0.11869566465148339,109.00357085504199,0.0382276943067431,109.04179854934873,0.9996494216455037,240.78560764477695,0.11910821667294158,109.30953918868774,0.03823592489380492,109.34777511358155,0.9996503273628192
60000,0.025,3225.817982337432,7433.842364835649,1.936917944354501,2.6807742453114027,340.6890651066643,0.10133793746086982,137.258283597675,0.12159583827770387,137.3798794359527,0.9991148933979492,340.9387951329635,0.10160472461156779,137.55334210354027,0.12161518399781733,137.6749572875381,0.9991166499238942
80000,0.025,5397.0326660421015,12415.579803207893,2.582557259139335,3.5743656604152036,436.53191694770936,0.08910732584805513,158.81433927270564,0.27729074395934666,159.091630016665,0.9982570375076909,436.81542280748863,0.08929488187239853,159.08863320034624,0.27732509372135505,159.36595829406758,0.9982598222563339
100000,0.025,8054.174479543812,18504.3211509948,3.2281965739241674,4.467957075519004,529.3825344121285,0.0798262347457283,176.0512276444401,0.5264326435930732,176.57766028803317,0.997018690570855,529.6925097118245,0.07996524212470342,176.30314512747822,0.5264851279044704,176.82963025538268,0.9970226419229397
10000,0.05,139.1363161215106,319.4956584227413,0.30802954311575564,0.44679570755190046,73.84641326805219,0.1732256045027384,42.54039424299354,0.0007731113090519849,42.541167354302594,0.9999818267490731,73.9437503301168,0.17446632492711056,42.77125556780983,0.0007734632643836615,42.77202903107421,0.9999819166104134
20000,0.05,468.0384775155807,1067.7446676704233,0.6160590862315113,0.8935914151038009,132.4821565226256,0.14564688818556726,70.46950448528047,0.005342217507750418,70.47484670278821,0.9999241968197494,132.62756442321006,0.14640652390767436,70.75614052092405,0.00534398671449984,70.76148450763854,0.9999244788778574
40000,0.05,1594.9326161249787,3619.4415959356566,1.2321181724630226,1.7871828302076018,239.02787276624358,0.11666868329639765,110.51604546443524,0.03798734191012304,110.55403280634536,0.9996563911695862,239.2398073199918,0.11707851440017714,110.82668428535499,0.03799565048911996,110.86467993584411,0.9996572790314182
60000,0.05,3284.5418582400484,7433.842364835649,1.8481772586945338,2.6807742453114027,338.4109745520432,0.09934341866804657,138.8053911791461,0.1208292591249909,138.92622043827112,0.9991302631084051,338.66874377241123,0.09960654066892491,139.1029087452026,0.12084869791185987,139.22375744311447,0.9991319822124378
80000,0.05,5495.281803993991,12415.579803207893,2.464236344926045,3.5743656604152036,433.54199813259015,0.08717302758703908,160.3013384743123,0.27553986222714916,160.57687833653947,0.9982840626553364,433.8339186326715,0.08735700253866367,160.57648011160873,0.2755742486613812,160.8520543602701,0.998286784400999
100000,0.05,8200.794750911713,18504.3211509948,3.0802954311575568,4.467957075519004,525.6903894657603,0.0779627492203697,177.44762659219583,0.5231047984789012,177.97073139067473,0.9970607256912902,526.0089495780943,0.07809852101698617,177.6992902236833,0.5231571749621141,178.22244739864541,0.9970645831510107
10000,0.075,143.7703764232842,319.4956584227413,0.29776016219864504,0.44679570755190046,73.47181888042793,0.17093775112107498,43.41224761822406,0.0007726110563818089,43.41302022928044,0.9999822032410484,73.57319208301438,0.17218551932091244,43.64985024301802,0.0007729670336694286,43.65062321005169,0.9999822919588124
20000,0.075,483.6269481211602,1067.7446676704233,0.5955203243972901,0.8935914151038009,131.76123923209306,0.14336671475189264,71.75714646769245,0.005339116786957794,71.7624855844794,0.9999256001691765,131.91216628191867,0.1441251998516376,72.05039801115686,0.00534089904036572,72.05573891019722,0.9999258782281447
